"";"scenario";"ID";"station";"deficit30";"duration30";"count30";"intensity30"
"319";"historical";17;12003;61,2723871910668;50;9;1,21331459784291
"320";"rcp8p5";17;12003;85,5649725477019;70;9;1,20684023339495
"321";"historical";18;12003;44,5066709070346;49;9;0,897311913448278
"322";"rcp8p5";18;12003;60,0896511949761;62;11;0,954814372801527
"323";"historical";19;12003;40,1897679504204;43;8;0,929601417511651
"324";"rcp8p5";19;12003;36,2496969804592;43;8;0,839113356029149
"325";"historical";20;12003;32,6418420180698;39;9;0,819460469072882
"326";"rcp8p5";20;12003;47,0829970283811;53;9;0,874065538893213
"327";"historical";1;12008;0,443691203404307;3;0;0,137224083527105
"328";"rcp8p5";1;12008;0,776579493878257;7;0;0,107858263038647
"329";"historical";2;12008;0,0981879588587879;1;0;0,0640356253426878
"330";"rcp8p5";2;12008;3,64792714037329;19;0;0,191324850019578
"331";"historical";3;12008;0,154520088469646;1;0;0,0986298437040293
"332";"rcp8p5";3;12008;0,957317136460392;9;0;0,104056210484825
"333";"historical";4;12008;0,73943288035027;4;0;0,159589830291425
"334";"rcp8p5";4;12008;0,859469503333652;7;0;0,1151075227679
"335";"historical";5;12008;0,202131738101448;2;0;0,0689085470800392
"336";"rcp8p5";5;12008;2,99494342626604;18;0;0,159588459658936
"337";"historical";16;12008;3,18932119935307;20;4;0,1573678223365
"338";"rcp8p5";16;12008;3,65433218069265;25;6;0,145978649029001
"339";"historical";17;12008;7,31385920341867;31;5;0,231451240614515
"340";"rcp8p5";17;12008;13,8337669288702;59;8;0,23433823143202
"341";"historical";18;12008;3,57254989546853;23;5;0,151165721952124
"342";"rcp8p5";18;12008;8,3795640512525;49;10;0,169741337972704
"343";"historical";19;12008;3,63727037501128;22;4;0,162620135991563
"344";"rcp8p5";19;12008;5,50119823246608;34;6;0,159455021230901
"345";"historical";20;12008;3,64397531417902;23;5;0,156393790308112
"346";"rcp8p5";20;12008;7,63011330331384;46;8;0,163152814753682
"347";"historical";6;13001;0,959137405128958;24;0;0,0398533547837517
"348";"rcp8p5";6;13001;1,77075276515182;43;1;0,0404897735934105
"349";"historical";7;13001;1,29396096592291;35;1;0,0365870207141256
"350";"rcp8p5";7;13001;5,94944178142587;74;2;0,0802171925585511
"351";"historical";8;13001;1,77738328175299;42;1;0,0417226122477227
"352";"rcp8p5";8;13001;3,610087350628;68;1;0,0530895198621765
"353";"historical";9;13001;1,55446644046108;37;1;0,0419747913715863
"354";"rcp8p5";9;13001;2,90154304402788;57;1;0,0504908882371441
"355";"historical";10;13001;0,703193843058774;25;0;0,027432789716207
"356";"rcp8p5";10;13001;3,14323393479414;64;1;0,0489346227523737
"357";"historical";16;13001;0,135390784504168;6;1;0,0213774922901317
"358";"rcp8p5";16;13001;0,22667065430282;9;2;0,0250926923582458
"359";"historical";17;13001;0,29225418461156;11;2;0,0244905741294604
"360";"rcp8p5";17;13001;0,63414063735735;20;4;0,0303901263909273
"361";"historical";18;13001;0,219138340643799;10;2;0,021138746685897
"362";"rcp8p5";18;13001;0,372685382331418;14;2;0,0263692487498645
"363";"historical";19;13001;0,23763806791277;8;1;0,0268012858548237
"364";"rcp8p5";19;13001;0,241794433797662;10;1;0,0233994613352576
"365";"historical";20;13001;0,0833640764890238;5;1;0,015630764341692
"366";"rcp8p5";20;13001;0,274295806560646;12;3;0,0212084386515963
"367";"rcp8p5";2;13005;0,0146241836408826;1;0;0,00743602558010982
"368";"historical";3;13005;0,00111143922032848;0;0;0,00333431766098544
